Time,Measured,Filtered
0.25,0.0,0.0
0.5,8.0,0.7986906710310965
0.75,4.0,1.1412703516412774
1.0,0.0,1.0126511364443898
1.25,0.0,0.8940166563701991
1.5,0.0,0.786188975530271
1.75,0.0,0.6892704076150707
2.0,0.0,0.6028904220249344
2.25,0.0,0.5263943264566471
2.5,0.0,0.45897852607948325
2.75,0.0,0.39978238461159715
3.0,0.0,0.3479473879141885
3.25,0.0,0.3026529442866071
3.5,0.0,0.26313617278118484
3.75,0.0,0.2287011167326197
4.0,0.0,0.19872123357917051
4.25,0.0,0.17263780061880257
4.5,0.0,0.14995599693900702
4.75,0.0,0.1302398052759886
5.0,0.0,0.11310645645965989
5.25,0.0,0.09822085743491894
5.5,0.0,0.08529025894906746
5.75,0.0,0.07405929987985771
6.0,0.0,0.06430549006514093
6.25,0.0,0.05583514740356285
6.5,0.0,0.048479777792582314
6.75,0.0,0.04209287138698303
7.0,0.0,0.0365470812253626
7.25,0.0,0.03173174755698217
7.5,0.0,0.027550731310412604
7.75,0.0,0.023920521863133773
8.0,0.0,0.020768586829364624
8.25,0.0,0.018031934504731173
8.5,24.0,25.302344676168296
8.75,24.0,25.13073307349284
9.0,44.0,27.617175098266955
9.25,32.0,28.194711537154642
9.5,28.0,28.16905379516719
9.75,28.0,28.14677699611352
10.0,32.0,28.654530403765605
10.25,40.0,30.149566959219634
10.5,24.0,29.33921376671419
10.75,40.0,30.744029646049363
11.0,44.0,32.49082475764833
11.25,28.0,31.899049563760983
11.5,36.0,32.43944954185938
11.75,40.0,33.4357362462205
12.0,36.0,33.77364053158143
12.25,20.0,31.958627211989157
12.5,36.0,32.49117677746529
12.75,36.0,32.95354997140321
13.0,20.0,31.24660314530037
13.25,48.0,33.45427278445074
13.5,28.0,32.73553896707713
13.75,32.0,32.63861371869471
14.0,40.0,33.60865642301083
14.25,40.0,34.45087228683992
14.5,40.0,35.182105616728535
14.75,44.0,36.344078932869884
15.0,24.0,34.71744452262844
15.25,24.0,33.30515898602629
15.5,24.0,32.0789766181408
15.75,40.0,33.12276525724643
16.0,40.0,34.0290092061181
16.25,24.0,32.70744185220192
16.5,44.0,34.195512697706036
16.75,36.0,34.43329805271627
17.0,32.0,34.11265149511256
17.25,32.0,33.83425796706571
17.5,36.0,34.11964747263512
17.75,24.0,32.78613630384889
18.0,40.0,33.73673935965017
18.25,28.0,32.980783578358235
18.5,36.0,33.37863921831676
18.75,24.0,32.14277401774279
19.0,28.0,31.596862172371242
19.25,36.0,32.17708332050687
19.5,28.0,31.626650384936053
19.75,36.0,32.20294620722769
20.0,24.0,31.122007328355842
20.25,48.0,33.34609584674041
20.5,32.0,33.16871478160654
20.75,20.0,31.4334143866998
21.0,44.0,33.08936953032688
21.25,24.0,31.8916226888755
21.5,20.0,30.32461042604769
21.75,36.0,31.072481872310526
22.0,32.0,31.194705080876624
22.25,32.0,31.30082239106092
22.5,20.0,29.811662523622378
22.75,32.0,30.100029532099015
23.0,28.0,29.82329925606902
23.25,40.0,31.16432859060833
23.5,28.0,30.74735087151219
23.75,32.0,30.91241804499579
24.0,28.0,30.52863570422935
24.25,24.0,29.668328202397362
24.5,32.0,29.9755830149131
24.75,44.0,31.823643113178097
25.0,8.0,28.68429519735503
25.25,44.0,30.702514061830655
25.5,20.0,29.292195956641436
25.75,48.0,31.75740689663655
26.0,20.0,30.208080848513248
26.25,28.0,29.917112167660395
26.5,36.0,30.718681480461058
26.75,24.0,29.83333079742056
27.0,32.0,30.118842480628818
27.25,20.0,28.785437387999117
27.5,24.0,28.1548389182796
27.75,36.0,29.188630852376154
28.0,40.0,30.613293278670334
28.25,28.0,30.268927945087547
28.5,32.0,30.497039045556683
28.75,32.0,30.695090926936878
29.0,24.0,29.812848876555442
29.25,48.0,32.20945105460622
29.5,20.0,30.600557127697606
29.75,32.0,30.78496796879399
30.0,40.0,31.999273919566487
30.25,32.0,31.999369598429986
30.5,32.0,31.999452669261917
30.75,40.0,33.05372054378007
31.0,40.0,33.96906282917358
31.25,28.0,33.18249274569949
31.5,16.0,30.918278891688498
31.75,40.0,32.11501786641314
32.0,24.0,31.045665697865083
32.25,16.0,29.063031092973347
32.5,28.0,28.92295073539221
32.75,36.0,29.85552514281948
33.0,12.0,27.502622802201465
33.25,36.0,28.622360168528726
33.5,32.0,29.067446863076437
33.75,24.0,28.39968674458523
34.0,36.0,29.40121398643656
34.25,32.0,29.743667632866373
34.5,16.0,27.932603131352437
34.75,24.0,27.41438644276587
35.0,44.0,29.59994685878635
35.25,40.0,30.970408336832502
35.5,28.0,30.57898435616413
35.75,20.0,29.18494431231865
36.0,32.0,29.555896780170187
36.25,20.0,28.29667355817428
36.5,36.0,29.3117753079433
36.75,32.0,29.666014688720633
37.0,28.0,29.446476488122215
37.25,32.0,29.782965692436516
37.5,32.0,30.07511421059981
37.75,32.0,30.328765012975005
38.0,12.0,27.91350173985818
38.25,32.0,28.45199787728958
38.5,32.0,28.91953397226696
38.75,28.0,28.798362871539293
39.0,28.0,28.693159028242608
39.25,32.0,29.128916240660995
39.5,20.0,27.92595815244168
39.75,40.0,29.517008603022735
40.0,24.0,28.790007725062758
40.25,20.0,27.63170912645404
40.5,36.0,28.734436210975517
40.75,16.0,27.056362643964704
41.0,44.0,29.289101455885646
41.25,20.0,28.065035046022242
41.5,36.0,29.11066083768076
41.75,12.0,26.85591259519088
42.0,44.0,29.115065605807505
42.25,40.0,30.54942205338987
42.5,20.0,29.159277566288512
42.75,28.0,29.006514380813428
43.0,28.0,28.873881482954783
43.25,12.0,26.65033471415399
43.5,44.0,28.936577640838422
43.75,32.0,29.340258494888833
44.0,12.0,27.05525514308576
44.25,40.0,28.761042020196346
44.5,28.0,28.66075611226013
44.75,32.0,29.100783201719146
45.0,36.0,30.00992383036296
45.25,32.0,30.27216506046357
45.5,20.0,28.918555966322657
45.75,28.0,28.797513741809006
46.0,32.0,29.219519667281514
46.25,24.0,28.53172023579916
46.5,32.0,28.98875095933344
46.75,28.0,28.858458826903842
47.0,36.0,29.799531621313207
47.25,16.0,27.981105672397344
47.5,36.0,29.037791212680983
47.75,32.0,29.428134702067833
48.0,28.0,29.239943010345748
48.25,24.0,28.54945230368049
48.5,16.0,26.89575489278798
48.75,32.0,27.568364080352715
49.0,20.0,26.571046924073453
49.25,28.0,26.75934645657606
49.5,36.0,27.977028668510666
49.75,32.0,28.50715357866533
50.0,24.0,27.9132258100925
50.25,24.0,27.397562557721646
50.5,44.0,29.585339932256566
50.75,24.0,28.84933472968546
51.0,16.0,27.156120471407306
51.25,36.0,28.321517998308952
51.5,36.0,29.333345885176776
51.75,28.0,29.15764493944739
52.0,16.0,27.423803267056428
52.25,36.0,28.553927035757802
52.5,28.0,28.48093359487398
52.75,36.0,29.471754576188115
53.0,16.0,27.69652127327445
53.25,32.0,28.263609896427255
53.5,28.0,28.22887284235853
53.75,20.0,27.14451749483596
54.0,24.0,26.730150372360562
54.25,36.0,27.951679882783512
54.5,28.0,27.95804724056149
54.75,20.0,26.90937979285002
55.0,32.0,27.580193566446795
55.25,24.0,27.10841546107171
55.5,36.0,28.280099290368963
55.75,24.0,27.716091480022534
56.0,40.0,29.334796999877646
56.25,28.0,29.15890483427953
56.5,20.0,27.951995015066466
56.75,28.0,27.958320846455344
57.0,24.0,27.436715219622876
57.25,32.0,28.038039647483416
57.5,32.0,28.56012486829371
57.75,24.0,27.959216836169546
58.0,36.0,29.01878676621944
58.25,20.0,27.8303409309924
58.5,16.0,26.27140403923498
58.75,28.0,26.49918885371335
59.0,20.0,25.642761694965145
59.25,20.0,24.899189770116486
59.5,20.0,24.253601640669626
59.75,36.0,25.80147704463737
60.0,36.0,27.1453819894981
60.25,12.0,25.14960732324719
60.5,16.0,23.943922678611404
60.75,44.0,26.586801613599746
61.0,28.0,26.773025080258986
61.25,28.0,26.934709048523352
61.5,28.0,27.075087197758304
61.75,36.0,28.25116284124923
62.0,28.0,28.218065991264602
62.25,16.0,26.608036835654037
62.5,44.0,28.899853542808803
62.75,32.0,29.30837369536869
63.0,12.0,27.02757194608455
63.25,32.0,27.68281101147379
63.5,28.0,27.72460842194216
63.75,40.0,29.342191626300142
64.0,20.0,28.111129287432643
64.25,28.0,28.096485284614346
64.5,32.0,28.61086886263897
64.75,24.0,28.00327406761567
65.0,20.0,26.9486468787942
65.25,36.0,28.141384128149944
65.5,24.0,27.59565543461782
65.75,32.0,28.176035600078293
66.0,28.0,28.152838602390386
66.25,28.0,28.13269837674995
66.5,36.0,29.169407868945292
66.75,36.0,30.069505518519534
67.0,24.0,29.269699653013504
67.25,24.0,28.575287780567386
67.5,20.0,27.445283788582508
67.75,0.0,23.82869609661772
